F3,F4,C3,Cz,C4,P3,P4,accX,accY,accZ,label
-0.580905255,-4.018596815,-3.340569059,-3.394345094,-5.807858719,-4.300288177,-7.480079881,27.3125,786,-490.25,2
1.920560789,3.247771516,4.852810111,2.849203551,5.168753276,4.933745366,5.088086596,34.25,778.5625,-498,1
3.786203099,5.389487137,1.00165528,3.111692428,3.839461937,0.1994537727,3.863271046,36.8125,772.875,-504.5,1
-5.609889228,-6.974815753,-4.03731057,-4.533451197,-6.411410021,-3.450094675,-6.985087189,31.5625,776.75,-499.9375,1
-2.856505567,-2.47398988,-2.440003709,-2.190408432,-0.2759724506,0.439859421,4.176053917,26.6875,785.9375,-489.8125,1
1.44474945,3.160190297,3.319105409,3.077619113,1.088455938,0.7791615884,-1.638661277,33,790.3125,-483.4375,1
5.371321442,5.058707528,1.984527493,2.044589362,3.996916396,0.8791031117,2.310003536,31.4375,794.125,-480.625,1
-5.279387466,-6.029295623,-3.020975927,-3.071117612,-4.295218963,-1.233282888,-4.677318455,33.125,788.6875,-486.3125,1
1.83570004,0.5430515547,1.102381281,0.1698280884,0.4264999617,1.378275374,3.55217554,38.625,795.625,-479.0625,1
-2.086483412,-1.258665198,-2.052918568,-0.8095953963,-0.9797734583,-1.724961492,-1.927662824,31.6875,786.625,-490.4375,0
1.705516547,2.554510522,2.047254907,2.83344574,2.255437221,0.3473039696,2.058943989,28.8125,781.9375,-495.625,0
-0.09952108361,-1.493059519,-1.571447248,-3.077043793,-2.885896682,0.6124470165,-5.70085929,22.3125,788.5625,-487.9375,0
3.541272108,3.098939586,2.988793134,4.144403438,4.249425247,0.993496508,7.360502297,27.25,798.5,-473.25,0
-4.484389005,-2.741371578,-0.6724612446,-2.450259582,-2.878508509,-0.1607798516,-2.622620033,4.0625,773.8125,-508.8125,0
2.388938213,0.560803703,-2.281987827,-0.03487484353,0.4899977598,-2.18915477,-3.733422839,1.0625,773.25,-503.375,0
1.808090311,1.594347195,2.914990789,1.410308162,1.57317391,2.807322417,5.872017721,13.8125,779.5625,-500.5625,0
-4.336864642,-2.618932649,-2.509650514,-1.512323342,-2.797663819,-2.162186066,-1.280625875,19.8125,793.25,-482.6875,0
4.659736018,1.422076783,1.940361812,0.4858150867,2.203921558,0.5274402028,-5.148828638,20.6875,791.0625,-484.625,0
-4.203833449,-1.094324697,-1.264208027,-0.1519857802,-0.619702152,-0.06849348423,3.017387458,40.1875,789.5,-484.375,0
-0.5581817614,0.08757848294,-0.7719224721,-1.760851453,-1.02062756,-1.252573688,2.048330993,36.8125,798.1875,-474.6875,0
-0.8788417809,-2.173967939,-1.474154336,0.41955325,-1.677346242,-0.609633935,-5.161691336,25.8125,802.75,-469.375,0
3.566395498,4.376024559,3.8964391,1.32511865,4.095881223,4.543309459,6.934063102,26.1875,795.6875,-477.625,0
0.688660542,-1.714129479,-1.497429564,0.9298410416,-1.850966986,-4.213237422,-6.891057719,44.375,804.3125,-468.5,0
-2.468539159,-0.2124651424,-0.06198411651,-1.30973716,-0.4868077561,1.825590453,4.594664926,59.875,819.8125,-435.875,0
-1.228192096,-1.042891868,-1.854367196,-1.856353615,1.297986457,-0.7528567711,0.4477505167,50.3125,824.25,-430.875,0
4.465963629,2.039005595,2.718860597,3.021569395,0.5862603047,1.306338178,-2.466976458,28.375,809.25,-456.125,0
-3.747653528,-1.550748367,-0.9744503702,-2.182868439,-2.039708933,-1.815943138,-0.07727753346,20.125,800.3125,-472.0625,0
